content,level
"['When you see the word Amazon, what’s\nthe first thing you think of – the world’s\nbiggest forest, the longest river or the largest\ninternet shop – and which do you think is\nmost important?', 'These are the questions in a debate about\nthe internet. Brazil and Peru have made\nobjections to a bid made by the US online\nshop for the domain name, “.amazon”.', 'Amazon has asked for its company\nname to be a top-level domain name\n(currently “.com”), but the South American\ngovernments say this would stop the use\nof this internet address for environmental\nprotection, indigenous rights and other\npublic interest uses.', 'There are many other disputed claims to\nnames, including “.patagonia”.', 'Until now, the differences between\ncommercial, governmental and other types\nof identity were easy to see in every internet\naddress by the use of “.com”, “.gov” and 20\nother categories.', 'But soon there are going to be more of these\ncategories – or generic top-level domains\n(gTLDs) as they are technically known.', 'The Internet Corporation for Assigned\nNames and Numbers (ICANN) has had bids\n(each worth almost $200,000) for hundreds\nof new gTLDs to add to the 22 that we\nuse already.', 'Amazon has applied for many new domains,\nincluding “.shop”, “.song”, “.book” and\n“.kindle”. But the one that has caused most\ndiscussion is its application for “.amazon”.', 'Brazil and Peru want the “.amazon”\napplication to be stopped. They say that a\nprivate company should not have a name\nthat is also the name of an important\ngeographical area.', '“Allowing private companies to register\ngeographical names as gTLDs to profit from\nthe meaning of these names is not, in our view, in the public interest,” the Brazilian\nMinistry of Science and Technology said.', 'Brazil said other members of the Amazon\nCooperation Treaty support its views\n(Bolivia, Colombia, Ecuador, Guyana,\nSuriname and Venezuela).', 'There have also been other objections over\nnew top-level domains that use geographical\nor cultural names.', 'Argentina is unhappy that the US outdoor\nclothing retailer, Patagonia, wants a domain\nname that has been known far longer as\na region of spectacular beauty. “Argentina\nrejects the ‘.patagonia’ request for a new\ngeneric top-level domain. Patagonia is an\nimportant region for the country’s economy\nbecause it has oil, fishing, mining and\nagriculture resources. It is also a major\ntourist destination.”', 'They will discuss the disputed bids again\nat a meeting of ICANN’s Governmental\nAdvisory Committee in Durban in July. The\nfirst new domain names will probably be in\nuse before the end of 2013.', nan]",Elementary
"['To tourists, Amsterdam still seems very liberal. Recently the city’s Mayor told them that the coffee shops that sell marijuana would stay open, although there is a new national law to stop drug tourism. But the Dutch capital has a plan to send antisocial neighbours to “scum villages” made from shipping containers, and so maybe now people won’t think it is a liberal city\nany more.', 'The Mayor, Eberhard van der Laan, says his new plan to solve the problem of antisocial behaviour will cost £810,000. The plan is hopes to protect victims of abuse and homophobia. The camps, where antisocial families will live for three to six months, have been called “scum villages” because last year Geert Wilders, the far-right politician, said that offenders should go to “a village\nfor scum”.', 'Bartho Boer, a spokesman for the Mayor, says that the plans are not illiberal. “We want to defend the liberal values of Amsterdam,” he says. “We want everyone to be who he and she is – whether they are gay and lesbian or try to stop violence and are then victims of harassment. We want to defend them.” According to Boer, the villages are not for “a problem neighbour who has the stereo too loud on Saturday night” but “people who are very violent and in a clear situation where a victim is harassed again and again”.', 'People found guilty of violent harassment will be evicted from their homes and put in temporary homes, including shipping containers in industrial areas of the city. “We call it a living container,” says Boer. The containers have showers and kitchens\nand have been used as student accommodation. They are going to use the containers because they want to show\nthat if people are antisocial they do not get better accommodation.', 'One Dutch newspaper wrote that in the 19th century antisocial people were moved to villages in Drenthe and Overijssel, which soon became slums. But Boer says that the government has learned from past mistakes and is not planning to put antisocial\nfamilies together.', 'They are “scum houses” not scum villages, says Boer, “because we don’t want to put more than one of these families in the same area”. After a maximum of six months in these houses, in different parts of the city, the families will get permanent homes. The city government expects to move about ten families a year, which starts in 2013.', 'Police will watch the temporary accommodation, but antisocial families will also be able to see doctors and social workers. “We will take care of them so the whole situation is not going to repeat at the new house they are in,” says Boer.']",Elementary
"['Anitta, a music star from Brazil, has millions\nof fans, but she is at the centre of a debate\nabout skin colour.', 'Some people are saying that Anitta had to\ngive up her black skin to be a success in the\nmostly white middle-class market.', 'The debate was started by photographs that\nshow that Anitta’s skin has got much lighter\nsince she signed a music deal with Warner.', 'In the first photo, before she was famous,\nshe looked darker. In the second photo – a\nmarketing photo after she became famous –\nshe seems lighter. The difference has started\na discussion about whether you need to\nhave light skin to be a success in Brazil.', 'Born Larissa de Macedo Machado, the\ndiva-to-be was a church chorister in her\nchildhood. In her teens, she made a name\nfor herself in Rio de Janeiro’s baile funk\nscene as a dancer and singer.', 'She now has an album and a huge hit single,\nShow das Poderosas, which was number\none in the charts and attracted 52 million\nYouTube views.', 'Many people love her because she is a pop\nidol with a strong message and some good\npop songs. Her marketing team want people\nto see her as a cultural bridge between the\npoor people living in the mostly black and\nmixed-race shanty towns on Rio’s hills and\nthe richer and whiter parts below.', 'But now people are asking if she – or her\nmarketing team – have gone too far and\nchanged her too much.', 'This is a sensitive topic in this mixed-raced\ncountry. Brazil has the largest population\nof African descent outside Africa, but race\nand where your family come from are less\nimportant there than colour. There is a clear\nlink between skin colour and inequality.', 'In Brazilian cities, white workers earn twice\nas much as workers of African descent. Up\nuntil 2011, black or mixed-race students also\nspent two years less at school on average.', 'Most business and government executives\nare white, but black and mixed-race workers\ndo most of the boring or dirty jobs.', 'Brazil did a census in 2010. Among the 197\nmillion population, 82 million said they were\n“pardu” (mixed race), 15 million black, two\nmillion Asian and 0.5% indigenous.', 'Maycon de Mattos Batista, a financial analyst\nwho used to work with Anitta, said there has\nbeen a huge change in Anitta’s image, but\nnot of her colour.', '“I don’t believe she is whiter; it’s more\nthe makeup, hairstylists and the way she\ndresses,” he said. “I don’t think that was\nbecause of pressure they put on her. She\nalways liked to show off, sing and dance.\nThat was a natural thing for her. I believe that\nit is because of this naturalness that she has\nbecome a success.”', nan, nan, nan, nan, nan, nan]",Elementary
"['Google has made maps of the world’s\nhighest mountains, the ocean floor, the\nAmazon rainforest and even shown us a bit\nof North Korea. They want to make maps\nof the whole world, but they have mostly\nstayed away from the Arctic.', 'Now, however, Google is starting a very\nimportant update to hundreds of years of\npolar map making – and it hopes that the\nmap will help give a better understanding\nof life on the permafrost for millions of web\nusers. A small Google team has flown to\nIqaluit, the largest town in the Canadian\nterritory of Nunavut. They have taken\ntheir warmest winter clothes, many laptop\ncomputers and an 18kg telescopic camera\nthat they can fix to their backpacks.', 'The team spent four days collecting the\nimages and information that will give\nthe isolated community on Baffin Island\nsomething that people across the world who\nlive in cities now take for granted. An Inuit\nmapping expert helped the Google team and\ncurious locals followed them around.', 'The town of 7,000 people will go on display\nvia Google’s popular Street View application\nin July 2013.', 'When Google made maps of other parts\nof the world it used a special camera on a\ncar roof. In Iqaluit that was not possible, so\nGoogle’s map makers walked the town’s\nsnowy roads and trails. Some roads are\nmade of ice and disappear in the short\nsummer months.', 'The team also walked along part of a 15km\nroad known as the Road to Nowhere,\ndespite warnings about meeting polar bears.', 'The online map that Google had already\ncreated using satellite images was mostly\ncorrect, but one road was missing that had\nbeen built in the last year.', 'One difficulty was how to place on the map\nmany businesses and homes that have mail\nsent to the local post office and not delivered\nto their address. Putting the PO box\naddresses on the map would mean the new\nmap would show all the companies, banks\nand schools in the same place, around the\nCanada Post building in the centre of town.', 'About 30 Inuit elders, business people and\nhigh-school pupils helped Google to correct\nthis problem. They were given a laptop\ncomputer and told how to make sure their\nhomes, shops and meeting places would\nshow up correctly on the map.', 'The project is more than a novelty. Arif\nSayani, the town’s Director of Planning,\nsaid that people who are thinking of visiting\nor moving to the area would be able to use\nthe maps to see the area. It may also help\nplanning decisions in Iqaluit happen\nmore quickly.', 'The project leader for Google said he\nhoped to see the work continue in other\nnorthern towns. But moving people and\nequipment around the vast Arctic territory\nis very expensive. So, in the future, Google\nmight send equipment to the area and ask\nvolunteers to complete the map.', nan, nan, nan, nan, nan, nan, nan]",Elementary
"['The auction of a Banksy painting that\ndisappeared from the wall of a north London\nshop was stopped just moments before it\nwas going to be sold.', 'Slave Labour is a spray-painted artwork that\nshows a child making flags. The expected\nprice was about $700,000. It was going to\nbe in a sale of street art in Florida.', 'But Frederic Thut, the owner of the Fine\nArts Auction Miami art house said that Slave\nLabour and a second work by the secretive\nBritish street artist were removed from sale\nat the auction. He did not want to give the\nname of the seller.', 'People in Haringey, London, were very\nhappy, because they led a campaign to stop\nthe sale of the artwork that was removed\nfrom the wall of a Poundland shop\nin Haringey.', '“I will write to the auction house to find out\nwhat will happen next, but for now we are\nreally pleased that a people’s campaign\nin London has had an impact in the US.\nIt’s a real victory for the people.” said Alan\nStrickland, a Haringey councillor.', 'The auction house said it had told the\nowners of the two Banksys that they should\nremove them from the sale. “There are no\nlegal problems with the sale of the artwork\nby Banksy, but FAAM told its sellers they\nshould remove them from the auction.”', 'Critics have said the auction house was\nbuying and selling stolen property but Thut\nsaid that the seller was the real owner and\nthat the sale was legal.', 'He added that his gallery had received many\nemails and phone calls from the UK, but\nsaid he thought it was right to sell the two\npieces of artwork because it would keep\nthem safe.', 'The second Banksy that was going to be\nauctioned was a 2007 artwork called Wet\nDog that was removed from a Bethlehem\nwall. Its estimated price is up to $800,000.', 'Poundland said it had no idea who removed\nthe 4ft x 5ft mural from the side of its shop.', 'Banksy himself has not commented on the\nsale of Slave Labour, but he has condemned\npeople who have tried to sell his artwork in\nthe past.', 'Stephan Keszler, the dealer at a 2011\nauction in New York that also planned to sell\nBanky’s paintings, believes selling Banksy’s\nworks without his permission is fair.', '“He does something on other people’s walls\nand houses without asking. The owner of\nthe property can do whatever they want with\nit,” Keszler said.', nan, nan, nan, nan, nan]",Elementary
"['The huge fortunes made by the world’s\nrichest 100 billionaires are making inequality\nworse and stopping the world from being\nable to reduce poverty, says Oxfam.', 'Oxfam said the world could end poverty\nseveral times over if the richest 100\nbillionaires would give away the money they\nmade in 2012.', 'The charity said that the $240bn made in\n2012 by the richest 100 billionaires would\nbe enough to end extreme poverty four\ntimes over.', 'It is unusual for charities to attack the\nwealthy, because they are usually seen\nas a source of money. Bill Gates and\nWarren Buffett are among a group of 40\nUS billionaires who have said they will give\nmuch of their money to aid projects, but\nthere is little information about how much\nmoney they give each year.', 'Russian, Middle Eastern and Chinese\nbillionaires do not give away money to\ncharity in the same way that US\nbillionaires do.', 'In the report, the charity asks world\nleaders to end income extremes and\nreduce inequality.', 'The report said that the richest 1% of people\nhave increased their incomes by 60% in the\npast 20 years.', 'Barbara Stocking, Oxfam’s Chief Executive,\nsaid: “We can no longer pretend that wealth\nfor a few people will benefit many people –\ntoo often the opposite is true.”', 'The report said the problem affected all\nparts of the world. “In the UK, inequality\nis returning to levels not seen since the\nnineteenth century. In China, the top\n10% now earn nearly 60% of the income.\nChinese inequality levels are now similar to\nthose in South Africa, which is now the most\nunequal country on Earth.”', 'In the US, the share of national income that\ngoes to the top 1% of people has doubled\nsince 1980 from 10% to 20%, the\nreport says.', 'The richest 1% are estimated to cause\n10,000 times more pollution than the\naverage US citizen.', 'Oxfam said world leaders should learn from\ncountries such as Brazil, which has grown\nquickly and reduced inequality at the\nsame time.', 'Stocking said that world leaders should\nagree to reduce inequality to the levels seen\nin 1990.', 'She said closing tax havens, which hold as\nmuch as $31 trillion, or as much as a third\nof all global wealth, could collect $189bn in\nadditional taxes.', nan, nan, nan]",Elementary
"['In 2005, BlackBerry brought instant\nmessaging to the mobile phone and the\ncompany was just entering its period of\nsuccess. Then, the iPhone was still just an\nidea and BlackBerry’s innovations made its\nsmartphone one of Canada’s\nbiggest exports.', 'Six years later, in the summer of 2011,\nthere were riots in London and other UK\ncities. Rioters used BlackBerry Messenger\n(BBM) and politicians wanted the service to\nshut down. But, two years later, the users\nthemselves are leaving BBM.', 'Fewer and fewer people want BlackBerry\nphones. There are now many alternative\nproducts, from Facebook’s and Apple’s\ninstant messaging applications to\nindependent apps such as WhatsApp and\nKik (which is also Canadian). They are free\nto download and use, and they use the\ninternet to swap text messages, pictures,\nvoice clips, ‘stickers’ and even videos\nbetween most types of phones.', 'BBM is trying to keep its customers and you\ncan now use it on Android and Apple phones.\nThere are many other apps people can use,\nbut lots of people want to use the BBM app\n– more than 20 million people downloaded\nit. But many people believe BBM will not\nsurvive. “The move to bring BlackBerry to\nthe iPhone is four or five years too late,”\nsays James Gooderson, a technology\nblogger. “WhatsApp has made BlackBerrys\nunnecessary for young people.”', 'BBM says it has 80 million monthly users\nafter its upgrade, but WhatsApp has\n300 million. Other services show BBM’s\nweaknesses: Skype and Viber have video\nor voice calls, but BBM doesn’t; Path does\nlocation sharing, but BBM doesn’t; there is\nno video sharing, as on iMessage; and the\nstickers (a more sophisticated version of\nthe smiley face), that kids around the world\nadore, are also absent. Even the contacts\nand calendar sharing that BBM made\npossible on BlackBerry phones are not on\nthe Apple and Android versions.', 'Messaging is now becoming visual. Photos\nthat are uploaded to Instagram get instant\ncomments and Snapchat’s pictures have\nopened a world of other possibilities. Like\nBBM, all of these services are free for any\nphone with an internet connection. But, in\n2011, BBM was so powerful that it helped to\nstart a revolution in Egypt; and at the time of\nthe London riots, people used BBM, not their\ntelevisions, to find out quickly what\nwas happening.', 'Nearly 80% of young smartphone owners\nregularly use a social networking application\nbut two-thirds use more than one. 60% of\n16- to 24-year-olds use Facebook every day,\nbut 46% use alternatives. “It’s much more\ncomplex,” says Benedict Evans, a digital\nmedia specialist. “All of these apps use your\nsmartphone. Apps rise and fall like fireworks.\nSome, like Instagram, last; others\njust disappear.”', 'Thirteen-year-old Bennett has three phones.\nHe keeps his BlackBerry for messaging,\nhe uses an iPhone to play games, and he\nmakes phone calls on an Android phone. His\nfriends are still on BBM. At the touch of a few\nbuttons, you can send a single BlackBerry\nmessage to several hundred people; on\nWhatsApp, the limit is 50. But, for Bennett,\nInstagram is now a major social network.\n“Instagram is Facebook without parents,” he\nsays. “Facebook is now for older people.”', 'The low cost of buying and using a\nBlackBerry is still an advantage. Anyone with\na second-hand phone and a £7-a-month deal\nfrom a telecoms company can use unlimited\nBBM messages. But people no longer\ntrust the privacy of BBM. Business people,\nrevolutionaries, demonstrators and rioters\nused to believe that their messages were\nsecret. The arrests that followed the riots\nshowed that wasn’t true.', 'In the rich London district of South\nKensington, the older pupils at one school all\nhave Apple phones. They all use WhatsApp.\nFor many, BBM is a distant memory. “I still\nhave a Blackberry, but I’m the only one,”\nsays one teenager. And how does that make\nhim feel? “Isolated,” he says.', nan]",Elementary
"['A big international disagreement has 1 started over the right of Bolivia’s indigenous Indian tribes to chew coca leaves, the main ingredient in cocaine. This could have a significant effect on global drugs policy. Bolivia has received a special exemption from the 1961 Convention on Drugs, the agreement that controls international drugs policy. The exemption allows Bolivia’s indigenous people to chew the leaves.', 'Bolivia said that the convention was against 2 its new constitution, which says it must “protect native and ancestral coca” as part of its cultural heritage and says that coca “in its natural state … is not a dangerous drug”.', 'South American Indians have chewed coca 3 leaves for hundreds of years. The leaves give energy and have medicinal qualities. People who support Bolivia’s position said that defending the rights of indigenous people was the right thing to do. “The Bolivian move is very important,” said Danny Kushlick, of the Transform Drug Policy Foundation. “It shows that any country that doesn’t want to continue the war on drugs can change its relations with the\nUN conventions.”', 'But the UN’s International Narcotics 4 Control Board (INCB), which checks global drug agreements, says Bolivia may harm international drug controls. Many countries – including the UK, the US, Italy, Sweden, the Netherlands and Russia – do not want to give Bolivia what it is asking for.', 'The UK told the UN that it “respects the 5 cultural importance of the coca leaf in Bolivia”, but it adds: “The United Kingdom is worried that the exemption could lead to more coca production and – most importantly – more coca reaching the cocaine trade. The exemption would make it more difficult to control the illegal\ndrugs trade.”', 'The right of indigenous people in South 6 America’s Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed\nthe convention.', 'In 2011, Bolivia told the UN that it did not 7 want to be part of the convention any more. It is now part of the convention again, but with an exemption so that its indigenous people can continue chewing coca leaves.', 'The exemption is the first in the history of 8 UN drug-control agreements. It has led to worries that other countries may also ask for exemptions. The Russian government says that the exemption will lead to more illegal cocaine and warns that “it also sets a dangerous example that could be used by other states in creating a more liberal\ndrug-control regime”.', 'The British parliament has recommended 9 that the UK government should support Bolivia’s request. It says that it is important that countries stay in the convention. Bolivia’s return could be blocked only if a third or more of the 184 countries that have signed the convention opposed the exemption. Some people believe that the US and UK are telling other countries that they should block Bolivia’s request.', 'Nancie Prud’homme, of the International 10 Centre on Human Rights and Drug Policy, said people are wrong to oppose Bolivia’s request. “These objections are not completely legal,” she said. She added that, all over the world, it has become normal to support cultural and indigenous rights, so we should support Bolivia’s efforts.', 'The decision to ban coca chewing was 11 based on a 1950 report. Some people say the report did not use any evidence. It is legal to grow coca leaves in Bolivia. As a result, cocaine production has decreased in the country and some experts see Bolivia as a model for other countries.', nan]",Elementary
"['Male bosses are paid bonuses double the\nsize of bonuses given to female colleagues\nin the same jobs. This means that men get\nbonuses of £141,500 more than women\nover their working lives.', 'The numbers, released by the Chartered\nManagement Institute (CMI), show that men\nin UK management jobs earned average\nbonuses of £6,442 in 2012 – compared with\n£3,029 for women.', 'Female directors received bonuses of\n£36,270 over the past 12 months, compared\nwith £63,700 received by male directors.', 'The numbers show that pay in British\nbusiness is still not equal. Campaigners\nbelieve we must do something to improve\nequality at work.', 'Ann Francke, the CMI’s chief executive,\nsaid that there should be more flexibility and\nless masculine cultures, and that the good\nwork people do should be more important\nthan how much time they spend in the office.\nAlso, there should be more transparency\naround performance and bonuses.', '“If we solve this issue, we will improve the\nperformance of organizations and the wellbeing\nof people at work,” she said. “What\nare we waiting for?”', 'Some of the numbers may be affected\nby women doing jobs where there is less\nof a culture of bonus payments. But the\ndifferences in the sizes of bonuses do make\nBritain’s pay gap worse. The government\nsays the pay gap is closing but that full-time\nmale employees still earn 10% more\nthan women.', 'Maria Miller, the Minister for Women and\nEqualities, said that the CMI numbers are\nanother example from the world of work that\nshows that women still earn less than men\ndoing the same job.', '“Changes in the workplace are happening\nand it’s good that the pay gap is closing –\nbut there is still more to do before we see\nfull equality in the workplace.', '“The government is trying to help. 120\ncompanies have joined our Think, Act,\nReport scheme, which encourages\ncompanies to improve the way they recruit,\npromote and pay women.', '“We’ve also looked at other causes of the\npay gap, such as having to juggle work\nand family.”', 'Large companies such as Tesco, BT,\nUnilever and the international law firm\nEversheds are some of the companies that\nhave signed up to Think, Act, Report. The\nscheme has only attracted 120 companies in\nnearly two years.', 'But the CMI’s numbers also showed that the\npay gap is closing: the difference between\nthe average salaries earned by male and\nfemale bosses appeared to be smaller than\nin 2012.', nan, nan, nan, nan, nan]",Elementary
"['More than 100,000 people went onto the\nstreets in Brazil to show their anger at\nviolent police, poor public services and high\ncosts for the World Cup.', 'The demonstrations in Rio de Janeiro, São\nPaulo, Brasilia, Belem, Belo Horizonte and\nSalvador started peacefully, but there were\nsome clashes with police and people set fire\nto cars and buses.', 'People complained that police used rubber\nbullets, tear gas and violent beatings.', 'Happening at the start of the football\nConfederations Cup, the rallies brought\ntogether people who are angry with the high\ncosts and poor quality of public services,\nthe large amounts of money spent on international sporting events, low standards\nof health care, inequality and corruption.', 'Most of the demonstrations were peaceful,\nbut several police were hurt, at least one car\nwas burned and windows were broken.', 'People were demonstrating for different\nreasons. “We are here because we hate the\ngovernment. They do nothing for us,” said\nOscar José Santos, 19 years old.', '“I’m an architect but I have been\nunemployed for six months. There must be\nsomething wrong with this country,” said\nNadia al Husin.', 'At a smaller rally in Brasilia, demonstrators\nentered the high-security area of the national\ncongress. Several climbed onto the roof.', 'In Belo Horizonte, police clashed with\nprotesters who tried to get into a football\nstadium, where there was a Confederations\nCup match between Nigeria and Tahiti.', 'In Porto Alegre, demonstrators set fire to a\nbus and, in Curitiba, protesters tried to enter\nthe office of the state governor. There were\nalso rallies in Belem, Salvador and\nother places.', 'In São Paulo, there were large groups of\npeople but the marches were peaceful.', 'Most protesters were young and, for many,\nit was their first experience of such a giant\nrally. “My generation has never experienced\nthis,” said Thiago Firbida, a student. “Since\nthe dictatorship, Brazilians have never\ndemonstrated like this. They did not believe\nthey had a reason to. But now Brazil once\nagain has problems, with a constant rise in\nprices, so people are finally reacting.”', 'Brazil’s demonstrations have been given\nspecial names – the “vinegar revolution”\n(because police arrested people for carrying\nvinegar to stop the effects of tear gas), the\n“20-cent revolution” (because of the bus\nprice rise) and the Passe Livre (because of\nthe demand for free public transport).', 'Some said the protests did not feel Brazilian\nbut they were liberating. “Our politicians\nneed to see the strength we have as one\npeople. Brazilians are usually too nice; they\nenjoy partying, not protesting, but something\nis changing,” said Deli Borsari, a 53-year-old\nyoga teacher.', 'After people heard about the costs of new\nand improved stadiums on the news, the\nConfederations Cup football tournament has\nbeen one of the reasons for the protests.\nBefore Saturday’s match in Brasilia, groups\nof demonstrators were dispersed by riot\npolice. Frightened Japanese supporters ran\nfrom the area holding their children, when\nthey heard shots – perhaps rubber bullets or\ntear gas.', 'Another protest march, near Rio’s Maracana\nStadium, also had a heavy police response.', 'President Dilma Rousseff “believes peaceful\nprotests are correct and proper for a\ndemocracy and that it is natural for young\npeople to demonstrate.”', 'But people booed the president at the\nopening ceremony for the Confederations\nCup. She will have serious political\nproblems, both now and in 2014, when\nBrazil will host the World Cup and also have\nan election.', nan, nan, nan, nan]",Elementary
